Country,HW Gold,HW Silver,HW Bronze,Total HW
United States,68,17,11,96
Canada,11,56,17,84
Italy,17,15,32,64
Norway,28,18,17,63
Switzerland,7,19,36,62
Germany,16,20,18,54
France,21,12,9,42
Japan,6,14,17,37
Finland,0,4,32,36
Sweden,14,11,7,32
Austria,9,13,9,31
Netherlands,13,9,3,25
China,5,4,11,20
South Korea,6,7,3,16
Great Britain,9,5,1,15
Slovenia,5,1,1,7
Poland,0,6,1,7
Australia,3,2,1,6
Spain,1,0,5,6
Czech Republic,2,2,1,5
Belgium,0,0,4,4
New Zealand,0,2,1,3
Bulgaria,0,0,2,2
Georgia,0,2,0,2
Latvia,0,1,1,2
Brazil,1,0,0,1
Kazakhstan,1,0,0,1
Estonia,0,1,0,1
Individual Neutral Athletes,0,1,0,1
Denmark,0,1,0,1
